Protein  Threshold  TP  FP   N   Neg  TPR    FPR
avg_FPR     =          0.0109032
Protein  Threshold  TP  FP  N   Neg  TPR   FPR
1ACB.E   0.9        1   0   13  159  .076  0
1ACB.I   0.9        1   0   11  44   .090  0
1AHW.A   0.9        1   0   9   163  .111  0
1AK4.A   0.9        1   3   9   110  .111  .027
1AVX.A   0.9        1   0   19  139  .052  0
1AY7.A   0.9        0   1   9   76   0     .013
1AY7.B   0.9        0   1   9   58   0     .017
1BGX.H   0.9        1   1   17  162  .058  .006
1DE4.E   0.9        2   1   21  66   .095  .015
1DFJ.E   0.9        0   2   18  85   0     .023
1DFJ.I   0.9        0   1   18  307  0     .003
1DQJ.A   0.9        1   1   8   173  .125  .005
1E4K.C   0.9        1   0   12  129  .083  0
1E6J.H   0.9        1   4   5   177  .200  .022
1EXB.E   0.9        1   1   3   73   .333  .013
1F34.A   0.9        0   3   23  212  0     .014
1FC2.D   0.9        1   1   10  164  .100  .006
1FFW.A   0.9        0   1   8   90   0     .011
1FFW.B   0.9        0   1   10  49   0     .020
1FLE.E   0.9        0   3   11  156  0     .019
1GHQ.A   0.9        0   1   5   192  0     .005
1GXD.A   0.9        0   1   21  483  0     .002
1GXD.C   0.9        3   2   18  149  .166  .013
1IRA.X   0.9        0   1   23  90   0     .011
1JIW.I   0.9        0   2   15  69   0     .028
1JIW.P   0.9        0   2   20  312  0     .006
1JPS.H   0.9        0   1   8   168  0     .005
1KAC.A   0.9        0   1   9   134  0     .007
1KAC.B   0.9        2   0   12  89   .166  0
1KLU.D   0.9        1   0   11  154  .090  0
Protein     Threshold  TP         FP  N   Neg  TPR   FPR
1ACB.E      0.9        1          0   13  159  .076  0
1ACB.I      0.9        1          0   11  44   .090  0
1AHW.A      0.9        1          0   9   163  .111  0
1AK4.A      0.9        1          3   9   110  .111  .027
1AVX.A      0.9        1          0   19  139  .052  0
1AY7.A      0.9        0          1   9   76   0     .013
1AY7.B      0.9        0          1   9   58   0     .017
1BGX.H      0.9        1          1   17  162  .058  .006
1DE4.E      0.9        2          1   21  66   .095  .015
1DFJ.E      0.9        0          2   18  85   0     .023
1DFJ.I      0.9        0          1   18  307  0     .003
1DQJ.A      0.9        1          1   8   173  .125  .005
1E4K.C      0.9        1          0   12  129  .083  0
1E6J.H      0.9        1          4   5   177  .200  .022
1EXB.E      0.9        1          1   3   73   .333  .013
1F34.A      0.9        0          3   23  212  0     .014
1FC2.D      0.9        1          1   10  164  .100  .006
1FFW.A      0.9        0          1   8   90   0     .011
1FFW.B      0.9        0          1   10  49   0     .020
1FLE.E      0.9        0          3   11  156  0     .019
1GHQ.A      0.9        0          1   5   192  0     .005
1GXD.A      0.9        0          1   21  483  0     .002
1GXD.C      0.9        3          2   18  149  .166  .013
1IRA.X      0.9        0          1   23  90   0     .011
1JIW.I      0.9        0          2   15  69   0     .028
1JIW.P      0.9        0          2   20  312  0     .006
1JPS.H      0.9        0          1   8   168  0     .005
1KAC.A      0.9        0          1   9   134  0     .007
1KAC.B      0.9        2          0   12  89   .166  0
1KLU.D      0.9        1          0   11  154  .090  0
Global_TPR  =          .049
Global_FPR  =          .008
avg_TPR     =          0.059871
avg_FPR     =          0.0093871
Protein  Threshold  TP  FP  N   Neg  TPR   FPR
1ACB.E   0.95       1   0   13  159  .076  0
1ACB.I   0.95       1   0   11  44   .090  0
1AHW.A   0.95       1   0   9   163  .111  0
1AK4.A   0.95       1   3   9   110  .111  .027
1AVX.A   0.95       1   0   19  139  .052  0
1AY7.A   0.95       0   1   9   76   0     .013
1AY7.B   0.95       0   1   9   58   0     .017
1BGX.H   0.95       0   1   17  162  0     .006
1DE4.E   0.95       1   0   21  66   .047  0
1DFJ.E   0.95       0   2   18  85   0     .023
1DFJ.I   0.95       0   1   18  307  0     .003
1DQJ.A   0.95       0   1   8   173  0     .005
1E4K.C   0.95       1   0   12  129  .083  0
1E6J.H   0.95       1   1   5   177  .200  .005
1EXB.E   0.95       1   1   3   73   .333  .013
1F34.A   0.95       0   2   23  212  0     .009
1FC2.D   0.95       1   0   10  164  .100  0
1FFW.A   0.95       0   1   8   90   0     .011
1FFW.B   0.95       0   1   10  49   0     .020
1FLE.E   0.95       0   2   11  156  0     .012
1GHQ.A   0.95       0   1   5   192  0     .005
1GXD.A   0.95       0   1   21  483  0     .002
1GXD.C   0.95       0   2   18  149  0     .013
1IRA.X   0.95       0   1   23  90   0     .011
1JIW.I   0.95       0   2   15  69   0     .028
1JIW.P   0.95       0   1   20  312  0     .003
1JPS.H   0.95       0   1   8   168  0     .005
1KAC.A   0.95       0   1   9   134  0     .007
1KAC.B   0.95       1   0   12  89   .083  0
1KLU.D   0.95       1   0   11  154  .090  0
Protein     Threshold  TP          FP  N   Neg  TPR   FPR
1ACB.E      0.95       1           0   13  159  .076  0
1ACB.I      0.95       1           0   11  44   .090  0
1AHW.A      0.95       1           0   9   163  .111  0
1AK4.A      0.95       1           3   9   110  .111  .027
1AVX.A      0.95       1           0   19  139  .052  0
1AY7.A      0.95       0           1   9   76   0     .013
1AY7.B      0.95       0           1   9   58   0     .017
1BGX.H      0.95       0           1   17  162  0     .006
1DE4.E      0.95       1           0   21  66   .047  0
1DFJ.E      0.95       0           2   18  85   0     .023
1DFJ.I      0.95       0           1   18  307  0     .003
1DQJ.A      0.95       0           1   8   173  0     .005
1E4K.C      0.95       1           0   12  129  .083  0
1E6J.H      0.95       1           1   5   177  .200  .005
1EXB.E      0.95       1           1   3   73   .333  .013
1F34.A      0.95       0           2   23  212  0     .009
1FC2.D      0.95       1           0   10  164  .100  0
1FFW.A      0.95       0           1   8   90   0     .011
1FFW.B      0.95       0           1   10  49   0     .020
1FLE.E      0.95       0           2   11  156  0     .012
1GHQ.A      0.95       0           1   5   192  0     .005
1GXD.A      0.95       0           1   21  483  0     .002
1GXD.C      0.95       0           2   18  149  0     .013
1IRA.X      0.95       0           1   23  90   0     .011
1JIW.I      0.95       0           2   15  69   0     .028
1JIW.P      0.95       0           1   20  312  0     .003
1JPS.H      0.95       0           1   8   168  0     .005
1KAC.A      0.95       0           1   9   134  0     .007
1KAC.B      0.95       1           0   12  89   .083  0
1KLU.D      0.95       1           0   11  154  .090  0
Global_TPR  =          .031
Global_FPR  =          .006
avg_TPR     =          0.0443871
avg_FPR     =          0.00767742
Protein     Threshold  TP        FP   N   Neg  TPR    FPR
1ACB.E      0          13        228  13  159  1.000  1.433
1ACB.I      0          11        52   11  44   1.000  1.181
1AHW.A      0          8         206  9   163  .888   1.263
1AK4.A      0          9         156  9   110  1.000  1.418
1AVX.A      0          22        201  19  139  1.157  1.446
1AY7.A      0          9         87   9   76   1.000  1.144
1AY7.B      0          9         80   9   58   1.000  1.379
1BGX.H      0          19        190  17  162  1.117  1.172
1DE4.E      0          21        78   21  66   1.000  1.181
1DFJ.E      0          18        106  18  85   1.000  1.247
1DFJ.I      0          18        438  18  307  1.000  1.426
1DQJ.A      0          7         207  8   173  .875   1.196
1E4K.C      0          12        160  12  129  1.000  1.240
1E6J.H      0          4         215  5   177  .800   1.214
1EXB.E      0          3         88   3   73   1.000  1.205
1F34.A      0          22        303  23  212  .956   1.429
1FC2.D      0          10        197  10  164  1.000  1.201
1FFW.A      0          8         120  8   90   1.000  1.333
1FFW.B      0          10        58   10  49   1.000  1.183
1FLE.E      0          15        222  11  156  1.363  1.423
1GHQ.A      0          5         302  5   192  1.000  1.572
1GXD.A      0          21        603  21  483  1.000  1.248
1GXD.C      0          18        174  18  149  1.000  1.167
1IRA.X      0          23        122  23  90   1.000  1.355
1JIW.I      0          15        90   15  69   1.000  1.304
1JIW.P      0          20        450  20  312  1.000  1.442
1JPS.H      0          8         205  8   168  1.000  1.220
1KAC.A      0          9         176  9   134  1.000  1.313
1KAC.B      0          12        112  12  89   1.000  1.258
1KLU.D      0          11        219  11  154  1.000  1.422
Global_TPR  =          1.012
Global_FPR  =          1.318
avg_TPR     =          0.972774
avg_FPR     =          1.25855
Protein  Threshold  TP  FP  N   Neg  TPR   FPR
1ACB.E   1          1   0   13  159  .076  0
1ACB.I   1          1   0   11  44   .090  0
1AHW.A   1          1   0   9   163  .111  0
1AK4.A   1          0   1   9   110  0     .009
1AVX.A   1          1   0   19  139  .052  0
1AY7.A   1          0   1   9   76   0     .013
1AY7.B   1          0   1   9   58   0     .017
1BGX.H   1          0   1   17  162  0     .006
1DE4.E   1          1   0   21  66   .047  0
1DFJ.E   1          0   2   18  85   0     .023
1DFJ.I   1          0   1   18  307  0     .003
1DQJ.A   1          0   1   8   173  0     .005
1E4K.C   1          1   0   12  129  .083  0
1E6J.H   1          0   1   5   177  0     .005
1EXB.E   1          0   1   3   73   0     .013
1F34.A   1          0   2   23  212  0     .009
1FC2.D   1          1   0   10  164  .100  0
1FFW.A   1          0   1   8   90   0     .011
1FFW.B   1          0   1   10  49   0     .020
1FLE.E   1          0   2   11  156  0     .012
1GHQ.A   1          0   1   5   192  0     .005
1GXD.A   1          0   1   21  483  0     .002
1GXD.C   1          0   2   18  149  0     .013
1IRA.X   1          0   1   23  90   0     .011
1JIW.I   1          0   2   15  69   0     .028
1JIW.P   1          0   1   20  312  0     .003
1JPS.H   1          0   1   8   168  0     .005
1KAC.A   1          0   1   9   134  0     .007
1KAC.B   1          1   0   12  89   .083  0
1KLU.D   1          1   0   11  154  .090  0
Protein     Threshold  TP          FP  N   Neg  TPR   FPR
1ACB.E      1          1           0   13  159  .076  0
1ACB.I      1          1           0   11  44   .090  0
1AHW.A      1          1           0   9   163  .111  0
1AK4.A      1          0           1   9   110  0     .009
1AVX.A      1          1           0   19  139  .052  0
1AY7.A      1          0           1   9   76   0     .013
1AY7.B      1          0           1   9   58   0     .017
1BGX.H      1          0           1   17  162  0     .006
1DE4.E      1          1           0   21  66   .047  0
1DFJ.E      1          0           2   18  85   0     .023
1DFJ.I      1          0           1   18  307  0     .003
1DQJ.A      1          0           1   8   173  0     .005
1E4K.C      1          1           0   12  129  .083  0
1E6J.H      1          0           1   5   177  0     .005
1EXB.E      1          0           1   3   73   0     .013
1F34.A      1          0           2   23  212  0     .009
1FC2.D      1          1           0   10  164  .100  0
1FFW.A      1          0           1   8   90   0     .011
1FFW.B      1          0           1   10  49   0     .020
1FLE.E      1          0           2   11  156  0     .012
1GHQ.A      1          0           1   5   192  0     .005
1GXD.A      1          0           1   21  483  0     .002
1GXD.C      1          0           2   18  149  0     .013
1IRA.X      1          0           1   23  90   0     .011
1JIW.I      1          0           2   15  69   0     .028
1JIW.P      1          0           1   20  312  0     .003
1JPS.H      1          0           1   8   168  0     .005
1KAC.A      1          0           1   9   134  0     .007
1KAC.B      1          1           0   12  89   .083  0
1KLU.D      1          1           0   11  154  .090  0
Global_TPR  =          .023
Global_FPR  =          .005
avg_TPR     =          0.0236129
avg_FPR     =          0.00709677
